Hãng xe,Dòng xe,Đời xe,Phiên bản,Màu xe,Công tơ mét (km),Nhập khẩu,Tình trạng,Giá (VNĐ)
Ford,Territory,2022,MT,Nâu,19776,Nhập khẩu Nhật,Rất tốt,1281000000
Toyota,Wigo,2017,LUX,Xám,33967,Nhập khẩu,Tốt,334000000
Chevrolet,Captiva,2018,S,Xám,62325,Nhập khẩu Nhật,Trung bình,349000000
Mitsubishi,Pajero Sport,2019,S,Bạc,25291,Nhập khẩu Úc,Trung bình,1050000000
Toyota,Fortuner,2018,SR5,Nâu,29958,Trong nước,Tốt,975000000
Mazda,CX-5,2023,Signature,Đen,24213,Nhập khẩu Nhật,Rất tốt,936000000
Toyota,Corolla Altis,2018,MT,Xanh,54853,Nhập khẩu Nhật,Tốt,490000000
Nissan,Navara,2019,MT,Trắng,86894,Trong nước,Tốt,521000000
Toyota,Raize,2013,MT,Đỏ,78949,Nhập khẩu,Trung bình,312000000
Mitsubishi,Outlander,2021,AT,Trắng,29321,Nhập khẩu Úc,Rất tốt,1352000000
Hyundai,Santa Fe,2013,S,Xanh,25409,Nhập khẩu,Tốt,936000000
Ford,EcoSport,2018,S,Đỏ,32419,Nhập khẩu Mỹ,Tốt,545000000
Kia,Cerato,2017,MT,Trắng,36948,Nhập khẩu Mỹ,Rất tốt,555000000
Mazda,BT-50,2022,AT,Đỏ,8915,Nhập khẩu,Rất tốt,872000000
Audi,Q5,2012,S,Trắng,218677,Nhập khẩu Nhật,Trung bình,1168000000
Honda,Civic,2026,MT,Trắng,3495,Trong nước,Mới,723000000
Toyota,Raize,2020,S,Bạc,61199,Nhập khẩu,Trung bình,341000000
Hyundai,Tucson,2021,S,Trắng,32938,Nhập khẩu Mỹ,Tốt,913000000
Honda,City,2021,MT,Đen,46427,Nhập khẩu,Tốt,324000000
Toyota,Camry,2014,2.0G,Xám,58413,Trong nước,Trung bình,662000000
Mitsubishi,Outlander,2012,MT,Trắng,67308,Trong nước,Trung bình,528000000
Kia,Morning,2012,MT,Đỏ,57306,Trong nước,Tốt,193000000
Kia,Sportage,2022,S,Cam,8041,Trong nước,Rất tốt,804000000
Toyota,Veloz,2024,S,Trắng,8972,Nhập khẩu Nhật,Mới,828000000
Volvo,S60,2018,S,Xám,27523,Trong nước,Tốt,1276000000
Hyundai,Kona,2021,S,Xanh,10566,Nhập khẩu Nhật,Rất tốt,807000000
Hyundai,Elantra,2022,LUX,Bạc,19517,Trong nước,Rất tốt,639000000
Nissan,Z,2012,LUX,Đỏ,30721,Trong nước,Tốt,1654000000
Honda,HR-V,2018,MT,Đen,122201,Nhập khẩu,Trung bình,397000000
Audi,A6,2025,MT,Trắng,21542,Nhập khẩu,Rất tốt,2542000000
Mazda,CX-5,2021,Premium,Xanh,66660,Trong nước,Trung bình,548000000
Hyundai,Elantra,2018,MT,Bạc,32566,Trong nước,Tốt,464000000
Honda,City,2018,MT,Xám,15591,Nhập khẩu Úc,Tốt,289000000
Toyota,Wigo,2020,MT,Nâu,70617,Nhập khẩu Mỹ,Trung bình,244000000
Mitsubishi,Attrage,2021,S,Vàng,22855,Nhập khẩu,Tốt,319000000
Kia,Morning,2020,MT,Trắng,88219,Nhập khẩu Úc,Trung bình,196000000
BMW,5 Series,2022,MT,Đen,51392,Trong nước,Tốt,2675000000
Hyundai,Tucson,2021,S,Trắng,54099,Nhập khẩu,Tốt,932000000
Kia,Carens,2019,S,Bạc,28253,Nhập khẩu Mỹ,Tốt,748000000
Honda,Accord,2020,MT,Trắng,21184,Nhập khẩu Nhật,Tốt,1102000000
BMW,5 Series,2020,MT,Cam,53808,Nhập khẩu Nhật,Tốt,2004000000
Toyota,Vios,2016,AT,Trắng,40963,Trong nước,Tốt,251000000
Peugeot,2008,2016,AT,Xám,30214,Trong nước,Trung bình,416000000
Suzuki,Vitara,2015,LUX,Bạc,64755,Nhập khẩu Mỹ,Trung bình,404000000
Ford,Explorer,2023,S,Bạc,43518,Trong nước,Tốt,1558000000
Honda,Jazz,2021,LUX,Đỏ,37388,Trong nước,Trung bình,390000000
Ford,Everest,2022,MT,Xanh,16817,Nhập khẩu,Rất tốt,1603000000
Mazda,CX-5,2019,MT,Bạc,18884,Nhập khẩu,Tốt,716000000
Nissan,Kicks,2019,LUX,Cam,51272,Trong nước,Tốt,404000000
Honda,City,2021,MT,Bạc,116043,Nhập khẩu Nhật,Trung bình,289000000
Ford,Focus,2016,MT,Đen,28300,Nhập khẩu Úc,Tốt,364000000
Honda,HR-V,2013,AT,Bạc,60177,Nhập khẩu Úc,Trung bình,484000000
Mazda,CX-8,2024,S,Đen,14690,Nhập khẩu Úc,Mới,1248000000
Hyundai,Elantra,2022,LUX,Đen,23900,Trong nước,Rất tốt,491000000
Kia,Cerato,2012,MT,Trắng,85674,Nhập khẩu Úc,Tốt,402000000
Ford,Mustang,2024,LUX,Ghi,8486,Nhập khẩu,Mới,3487000000
Mazda,Mazda6,2016,AT,Xanh,44502,Nhập khẩu,Tốt,586000000
Kia,EV6,2016,S,Xám,39115,Nhập khẩu Mỹ,Trung bình,1737000000
Hyundai,Tucson,2019,S,Đen,77980,Nhập khẩu Mỹ,Trung bình,736000000
Toyota,Vios,2026,MT,Trắng,11629,Trong nước,Mới,532000000
Hyundai,Accent,2016,MT,Trắng,130987,Nhập khẩu Mỹ,Trung bình,154000000
Lexus,NX,2022,LUX,Đỏ,39224,Trong nước,Rất tốt,2237000000
Mazda,CX-8,2016,AT,Ghi,59385,Trong nước,Rất tốt,656000000
Mazda,Mazda3,2022,AT,Trắng,14746,Trong nước,Rất tốt,505000000
Honda,Accord,2022,S,Xanh,27413,Nhập khẩu,Rất tốt,1101000000
Kia,Carnival,2016,S,Nâu,77734,Nhập khẩu,Trung bình,801000000
Suzuki,Vitara,2023,AT,Đen,21947,Trong nước,Rất tốt,502000000
Ford,Everest,2023,AT,Trắng,27240,Trong nước,Rất tốt,1219000000
Mazda,CX-5,2012,AT,Xám,141402,Nhập khẩu Nhật,Trung bình,509000000
Kia,Seltos,2023,MT,Cam,10774,Nhập khẩu Nhật,Rất tốt,809000000
Mitsubishi,Pajero Sport,2019,LUX,Nâu,32895,Trong nước,Tốt,1393000000
Nissan,Almera,2022,LUX,Xanh,6381,Trong nước,Rất tốt,481000000
Lexus,RX,2019,S,Trắng,47809,Nhập khẩu Nhật,Trung bình,2889000000
Toyota,Raize,2014,AT,Trắng,22013,Nhập khẩu Nhật,Tốt,372000000
Chevrolet,Colorado,2020,LUX,Trắng,24411,Trong nước,Tốt,639000000
Mitsubishi,Triton,2012,S,Bạc,63026,Trong nước,Trung bình,517000000
Chevrolet,Trailblazer,2013,MT,Bạc,38569,Trong nước,Rất tốt,667000000
Mitsubishi,Outlander,2015,LUX,Đen,69149,Nhập khẩu Nhật,Tốt,597000000
Chevrolet,Cruze,2020,AT,Trắng,10712,Nhập khẩu,Tốt,285000000
Hyundai,Accent,2016,MT,Trắng,22093,Nhập khẩu,Tốt,282000000
Toyota,Innova,2022,V,Trắng,29210,Nhập khẩu Úc,Rất tốt,590000000
Lexus,RX,2024,LUX,Nâu,3126,Nhập khẩu,Mới,6046000000
Toyota,Corolla Altis,2016,AT,Ghi,27473,Nhập khẩu Nhật,Tốt,450000000
Suzuki,Crossover,2013,AT,Đen,60625,Nhập khẩu,Trung bình,376000000
Honda,Jazz,2024,AT,Bạc,10287,Nhập khẩu Nhật,Mới,831000000
Toyota,Raize,2024,LUX,Cam,1701,Trong nước,Mới,529000000
Honda,Accord,2020,AT,Xám,32430,Nhập khẩu,Tốt,914000000
Hyundai,Accent,2025,AT,Trắng,624,Nhập khẩu Úc,Mới,534000000
Hyundai,Accent,2020,SE,Đen,11220,Nhập khẩu Úc,Trung bình,335000000
Honda,Accord,2017,LUX,Bạc,61684,Nhập khẩu Úc,Trung bình,621000000
Peugeot,508,2023,LUX,Trắng,15890,Nhập khẩu,Rất tốt,1393000000
Toyota,Yaris,2013,AT,Đỏ,75799,Trong nước,Tốt,422000000
Toyota,Fortuner,2025,AT,Trắng,9064,Trong nước,Mới,1230000000
Honda,HR-V,2018,LUX,Bạc,156495,Trong nước,Trung bình,328000000
Kia,Sorento,2012,S,Trắng,59946,Nhập khẩu Nhật,Rất tốt,855000000
Mazda,MX-5,2019,S,Vàng,29820,Trong nước,Trung bình,1281000000
Honda,HR-V,2019,MT,Trắng,75254,Nhập khẩu Mỹ,Trung bình,534000000
Land Rover,Discovery,2025,LUX,Bạc,2210,Nhập khẩu Úc,Mới,5583000000
Toyota,Land Cruiser Prado,2026,LUX,Trắng,4045,Trong nước,Mới,6094000000
Mitsubishi,Attrage,2026,AT,Trắng,571,Nhập khẩu Nhật,Mới,822000000
Hyundai,Accent,2023,AT,Bạc,5359,Nhập khẩu Úc,Rất tốt,470000000
Lexus,NX,2019,LUX,Trắng,139920,Trong nước,Trung bình,1203000000
Honda,City,2017,MT,Đỏ,119427,Nhập khẩu Nhật,Trung bình,239000000
Mitsubishi,Xforce,2023,AT,Trắng,21668,Trong nước,Rất tốt,647000000
Kia,Sonet,2012,AT,Đen,48922,Trong nước,Trung bình,216000000
Kia,Carnival,2016,S,Bạc,30466,Trong nước,Rất tốt,1041000000
Toyota,Land Cruiser Prado,2024,LUX,Xám,1190,Trong nước,Mới,4678000000
Kia,EV6,2016,LUX,Bạc,35840,Nhập khẩu Nhật,Tốt,2034000000
